ジャズ・シャンソン歌手,ジャズ・シャンソン かしゅ
生麦 生米 生卵,なまむぎ なまごめ なまたまご
老若男女,ろうにゃくなんにょ
赤パジャマ 黄パジャマ 茶パジャマ,あかぱじゃま きぱじゃま ちゃぱじゃま
青巻紙 赤巻紙 黄巻紙,あおまきがみ あかまきがみ きまきがみ
除雪車 除雪 作業中,じょせつしゃ じょせつ さぎょうちゅう
隣の客はよく柿食う客だ,となりのきゃくは よくかきくうきゃくだ
この釘はひきぬきにくい釘だ,このクギは ひきぬきにくい クギだ
高架橋 橋脚,こうかきょう きょうきゃく
貨客船の旅客,かきゃくせん の りょきゃく
魔術師 魔術 修業中,まじゅつし まじゅつ しゅぎょうちゅう
不幸な夫婦は古い服,ふこうな ふうふは ふるいふく
庭には鶏が2羽いました,にわには にわとりが にわ いました
この寿司は少し酢が効きすぎた,このすしは すこし すが ききすぎた
この杭の釘は引き抜きにくい,このクイのクギはひきぬきにくい
炙りカルビ,あぶりカルビ
バスガス爆発,バス ガスばくはつ
スモモも桃も桃のうち,すもも も もも も もものうち
桃もスモモももものうち,もも も すもも も もものうち
お綾や、親にお謝り,おあや や、おやに おあやまり
お綾や、八百屋にお謝りとお言い,おあや や、やおやに おあやまりと おいい
骨粗鬆症,こつ そしょう しょう
右耳にミニにきび,みぎみみに ミニ にきび
投げやりなやり投げ,なげやり な やりなげ
マサチューセッツ州,まさちゅーせっつ しゅう
油アルバム,あぶらアルバム
神アニメ,かみアニメ
肩たたき機,かた たたき き
魔術師 手術中,まじゅつし しゅじゅつちゅう
生なまず 生なまこ 生なめこ,なま なまず なま なまこ なま なめこ
密集阻止 密接阻止 密閉阻止 ,みっしゅうそし みっせつそし みっぺいそし
中小商工業 振興会議,ちゅうしょう しょうこうぎょう しんこう かいぎ
低所得者層,てい しょとくしゃ そう
ブラジル人のミラクルビラ配り,ブラジルじんの ミラクル ビラくばり
マグマ大使のママ,マグマたいしの ママ
新設 診察室 視察,しんせつ しんさつしつ しさつ
# 老いては負うた子に教えられ,おいては おうた こに おしえられ
野田だな 野田だな 野田なのだな,のだだな のだだな のだなのだな
バナナの謎はまだ謎なのだぞ,バナナの なぞは まだ なぞ なのだぞ
派出所で手術中,はしゅつしょで しゅじゅつちゅう
狂牛病ブーム,きょうぎゅう びょう ぶーむ
よぼよぼ病,よぼよぼびょう
生温かい肩叩き器,なま あたたかい かたたたき き
ビュッフェで 美人に ビールをつぐ 美少年,ビュッフェで びじんに ビールをつぐ びしょうねん
ビルの屋上でビスケットをかじる美少年,ビルのおくじょうで ビスケットをかじる びしょうねん
ビキニ姿でビーチを走る美少年,ビキニすがたで ビーチをはしる びしょうねん
便せんを びりびりにやぶく 美少年,びんせんを びりびりにやぶく びしょうねん
ビーズ細工のビワをビンに詰める美少年,ビーズざいくの ビワを ビンにつめる びしょうねん
貧乏でもビーバーを飼っている美少年,びんぼうでも ビーバーを かっている びしょうねん
びくびくしながら美術品を扱う美少年,びくびくしながら びじゅつひんを あつかう びしょうねん
ビアガーデンのビラを配る美少年,ビアガーデンの ビラを くばる びしょうねん
